M WGT
8.0 0.0
8.1 0.0
8.2 0.0
8.3 0.0
8.4 0.0
8.5 0.0
8.6 0.0
8.7 0.05275
8.8 0.03751
8.9 0.07449
9.0 0.06249
9.1 0.06999
9.2 0.13174
9.3 0.10351
9.4 0.0676
9.5 0.07101
9.6 0.14092
9.7 0.13857
9.8 0.12489
9.9 0.21726
10.0 0.13108
10.1 0.13931
10.2 0.29085
10.3 0.30075
10.4 0.33589
10.5 0.3236
10.6 0.51479
10.7 0.50497
10.8 0.60519
10.9 1.0
11.0 0.78699
11.1 0.78732
11.2 0.98131
11.3 0.76985
11.4 0.79989
11.5 0.66916
11.6 0.4849
11.7 0.14041
11.8 0.20544
11.9 0.0
12.0 0.0
12.1 0.0
12.2 0.0
12.3 0.0
12.4 0.0
12.5 0.0
12.6 0.0
