xlin values
-3.000000000000000000e+00 2.321770141250068843e-03
-2.993993993993993907e+00 2.399856220119931955e-03
-2.987987987987987815e+00 2.480261692642669446e-03
-2.981981981981982166e+00 2.563044047466333381e-03
-2.975975975975976073e+00 2.648261799265723762e-03
-2.969969969969969981e+00 2.735974493576746273e-03
-2.963963963963963888e+00 2.826242711145051777e-03
-2.957957957957957795e+00 2.919128071769471009e-03
-2.951951951951952147e+00 3.014693237620700607e-03
-2.945945945945946054e+00 3.113001916015576114e-03
-2.939939939939939961e+00 3.214118861626875500e-03
-2.933933933933933869e+00 3.318109878108687835e-03
-2.927927927927927776e+00 3.425041819117138030e-03
-2.921921921921922127e+00 3.534982588706061645e-03
-2.915915915915916035e+00 3.648001141077301425e-03
-2.909909909909909942e+00 3.764167479664955445e-03
-2.903903903903903849e+00 3.883552655533154419e-03
-2.897897897897897757e+00 4.006228765066567957e-03
-2.891891891891892108e+00 4.132268946933045570e-03
-2.885885885885886015e+00 4.261747378297715827e-03
-2.879879879879879923e+00 4.394739270267716998e-03
-2.873873873873873830e+00 4.531320862547086846e-03
-2.867867867867867737e+00 4.671569417281113724e-03
-2.861861861861862089e+00 4.815563212069536546e-03
-2.855855855855855996e+00 4.963381532128372832e-03
-2.849849849849849903e+00 5.115104661579757649e-03
-2.843843843843843811e+00 5.270813873849911763e-03
-2.837837837837837718e+00 5.430591421155013879e-03
-2.831831831831832069e+00 5.594520523055307795e-03
-2.825825825825825977e+00 5.762685354057781387e-03
-2.819819819819819884e+00 5.935171030247991114e-03
-2.813813813813813791e+00 6.112063594932205975e-03
-2.807807807807807698e+00 6.293450003270826230e-03
-2.801801801801801606e+00 6.479418105884806808e-03
-2.795795795795795957e+00 6.670056631416945367e-03
-2.789789789789789864e+00 6.865455168030365138e-03
-2.783783783783783772e+00 7.065704143826795000e-03
-2.777777777777777679e+00 7.270894806168046350e-03
-2.771771771771771586e+00 7.481119199884121024e-03
-2.765765765765765938e+00 7.696470144352166032e-03
-2.759759759759759845e+00 7.917041209431069371e-03
-2.753753753753753752e+00 8.142926690236734072e-03
-2.747747747747747660e+00 8.374221580744072024e-03
-2.741741741741741567e+00 8.611021546202222293e-03
-2.735735735735735918e+00 8.853422894349996519e-03
-2.729729729729729826e+00 9.101522545419599153e-03
-2.723723723723723733e+00 9.355418000916977325e-03
-2.717717717717717640e+00 9.615207311168376403e-03
-2.711711711711711548e+00 9.880989041623131769e-03
-2.705705705705705899e+00 1.015286223790361209e-02
-2.699699699699699806e+00 1.043092638959435860e-02
-2.693693693693693714e+00 1.071528139276268533e-02
-2.687687687687687621e+00 1.100602751120502085e-02
-2.681681681681681528e+00 1.130326533641297024e-02
-2.675675675675675436e+00 1.160709574625509374e-02
-2.669669669669669787e+00 1.191761986237080753e-02
-2.663663663663663694e+00 1.223493900627418626e-02
-2.657657657657657602e+00 1.255915465416615126e-02
-2.651651651651651509e+00 1.289036839045531839e-02
-2.645645645645645416e+00 1.322868185998801391e-02
-2.639639639639639768e+00 1.357419671898997711e-02
-2.633633633633633675e+00 1.392701458472305615e-02
-2.627627627627627582e+00 1.428723698386121128e-02
-2.621621621621621490e+00 1.465496529959205325e-02
-2.615615615615615397e+00 1.503030071745092150e-02
-2.609609609609609748e+00 1.541334416989575268e-02
-2.603603603603603656e+00 1.580419627963295520e-02
-2.597597597597597563e+00 1.620295730170492193e-02
-2.591591591591591470e+00 1.660972706435214982e-02
-2.585585585585585378e+00 1.702460490866379225e-02
-2.579579579579579729e+00 1.744768962703192525e-02
-2.573573573573573636e+00 1.787907940042651050e-02
-2.567567567567567544e+00 1.831887173450912065e-02
-2.561561561561561451e+00 1.876716339460570565e-02
-2.555555555555555358e+00 1.922405033955926212e-02
-2.549549549549549710e+00 1.968962765448542540e-02
-2.543543543543543617e+00 2.016398948245552367e-02
-2.537537537537537524e+00 2.064722895513269180e-02
-2.531531531531531432e+00 2.113943812238889067e-02
-2.525525525525525339e+00 2.164070788093186426e-02
-2.519519519519519690e+00 2.215112790197252060e-02
-2.513513513513513598e+00 2.267078655796546729e-02
-2.507507507507507505e+00 2.319977084845581752e-02
-2.501501501501501412e+00 2.373816632506878244e-02
-2.495495495495495319e+00 2.428605701567826750e-02
-2.489489489489489671e+00 2.484352534779364630e-02
-2.483483483483483578e+00 2.541065207120524194e-02
-2.477477477477477485e+00 2.598751617992963586e-02
-2.471471471471471393e+00 2.657419483349937606e-02
-2.465465465465465300e+00 2.717076327764176083e-02
-2.459459459459459651e+00 2.777729476439301168e-02
-2.453453453453453559e+00 2.839386047169730615e-02
-2.447447447447447466e+00 2.902052942253914233e-02
-2.441441441441441373e+00 2.965736840366182264e-02
-2.435435435435435281e+00 3.030444188392403260e-02
