clin values
-2.899012833333333150e-01 3.323768509613161948e-02
-2.699578499999999992e-01 5.539614182688587518e-02
-2.500144166666666834e-01 8.032440564898474245e-02
-2.300709833333333398e-01 1.578790042066251786e-01
-2.101275499999999963e-01 1.966563034854451331e-01
-1.901841166666666805e-01 3.406862722353485862e-01
-1.702406833333333369e-01 6.702933161053209465e-01
-1.502972499999999934e-01 1.235333962739556757e+00
-1.303538166666666775e-01 2.124442039061076315e+00
-1.104103833333333340e-01 3.002470887017222534e+00
-9.046695000000000431e-02 4.035608932088640799e+00
-7.052351666666666075e-02 4.719751283650682971e+00
-5.058008333333333106e-02 4.957954693506299471e+00
-3.063665000000001526e-02 4.705902248193967630e+00
-1.069321666666667170e-02 4.484317680886411139e+00
9.250216666666671861e-03  3.672764203122543591e+00
2.919364999999998767e-02  3.290530824517030162e+00
4.913708333333333123e-02  2.592539437498258881e+00
6.908051666666667479e-02  2.127211846152423647e+00
8.902394999999999059e-02  1.836382101561271796e+00
1.089673833333333341e-01  1.373824317306769682e+00
1.289108166666666777e-01  1.207635891826115415e+00
1.488542499999999935e-01  8.752590408647992204e-01
1.687976833333333371e-01  6.619838948312861682e-01
1.887411166666666806e-01  5.401123828121388026e-01
2.086845499999999964e-01  3.406862722353490858e-01
2.286279833333333400e-01  3.046787800478722996e-01
2.485714166666666558e-01  2.354336027642662810e-01
2.685148499999999716e-01  1.661884254806575978e-01
2.884582833333333429e-01  1.163318978364606543e-01
