clin values
-2.812347666666666912e-01 1.606486739844785808e-02
-2.617762999999999618e-01 1.285189391875828646e-01
-2.423178333333333434e-01 4.819460219534364709e-02
-2.228593666666666695e-01 1.606486739844785738e-01
-2.034008999999999956e-01 1.445838065860307331e-01
-1.839424333333333217e-01 4.176865523596449692e-01
-1.644839666666666755e-01 8.996325743130801911e-01
-1.450255000000000016e-01 1.301254259274276848e+00
-1.255670333333333277e-01 2.811351794728375708e+00
-1.061085666666666538e-01 3.630660032049216390e+00
-8.665009999999999379e-02 4.257189860588688646e+00
-6.719163333333333377e-02 5.172887302300211765e+00
-4.773316666666667374e-02 4.899784556526604717e+00
-2.827470000000001371e-02 5.012238628315731859e+00
-8.816233333333339806e-03 4.385708799776265820e+00
1.064223333333333410e-02  3.341492418877154869e+00
3.010070000000000801e-02  3.325427551478707056e+00
4.955916666666668191e-02  2.586443651150105882e+00
6.901763333333335582e-02  1.943848955212191143e+00
8.847610000000002972e-02  1.542227270250994708e+00
1.079345666666666759e-01  1.349448861469624061e+00
1.273930333333333220e-01  1.188800187485141713e+00
1.468514999999999959e-01  7.229190329301536933e-01
1.663099666666666698e-01  7.550487677270494302e-01
1.857684333333333437e-01  4.498162871565400955e-01
2.052268999999999899e-01  2.088432761798227622e-01
2.246853666666666638e-01  2.891676131720606335e-01
2.441438333333333377e-01  2.088432761798227622e-01
2.636023000000000116e-01  1.124540717891347047e-01
2.830607666666666855e-01  8.032433699223952284e-02
