clin values
-1.721076333333333430e-01 3.848627265148543697e-02
-1.495428999999999786e-01 3.848627265148543697e-01
-1.269781666666666697e-01 1.423992088104963027e+00
-1.044134333333333470e-01 4.411489002676518112e+00
-8.184870000000001034e-02 6.391928449534206358e+00
-5.928396666666668757e-02 5.894814094452526021e+00
-3.671923333333336481e-02 5.254979811621574015e+00
-1.415450000000002817e-02 4.677685721849292655e+00
8.410233333333308470e-03  3.888717132493840989e+00
3.097496666666664511e-02  3.016361619060170973e+00
5.353969999999996787e-02  2.277104465212891338e+00
7.610443333333327676e-02  1.861773439515610473e+00
9.866916666666661340e-02  1.541054500753227474e+00
1.212338999999999500e-01  9.156525701665921835e-01
1.437986333333332867e-01  7.184104228277272686e-01
1.663633666666666233e-01  5.404114118146087220e-01
1.889280999999999322e-01  2.870434501923292414e-01
2.114928333333332688e-01  2.742146926418334019e-01
2.340575666666666055e-01  1.443235224430705621e-01
2.566222999999999699e-01  1.170624126482680549e-01
2.791870333333332788e-01  8.017973469059476443e-02
3.017517666666665876e-01  5.933300367104012152e-02
3.243164999999998965e-01  2.405392040717842586e-02
3.468812333333332054e-01  3.046829918242600910e-02
3.694459666666665698e-01  1.443235224430698509e-02
3.920106999999999342e-01  1.603594693811895289e-02
4.145754333333332431e-01  1.282875755049516127e-02
4.371401666666665520e-01  8.017973469059476443e-03
4.597048999999998609e-01  4.810784081435685693e-03
4.822696333333332808e-01  6.414378775247533797e-03
