clin values
-1.643311833333333249e-01 6.707605538382248322e-02
-1.471555499999999961e-01 6.372225261463136947e-01
-1.299799166666666672e-01 1.224138010754759476e+00
-1.128042833333333245e-01 2.783656298428633491e+00
-9.562864999999999560e-02 6.053613998389979045e+00
-7.845301666666665286e-02 7.177137926069000251e+00
-6.127738333333332399e-02 5.265470347630064829e+00
-4.410174999999999512e-02 6.053613998389979045e+00
-2.692611666666666626e-02 4.393481627640372977e+00
-9.750483333333337388e-03 5.231932319938153775e+00
7.425149999999991479e-03  4.091639378413171713e+00
2.460078333333333422e-02  3.001653478426051791e+00
4.177641666666667697e-02  2.029050675360630329e+00
5.895205000000000584e-02  2.230278841512097543e+00
7.612768333333333470e-02  1.760746453825340119e+00
9.330331666666666357e-02  1.693670398441517788e+00
1.104789499999999924e-01  1.190599983062849088e+00
1.276545833333333213e-01  9.893718169113816518e-01
1.448302166666666502e-01  8.719887199896922958e-01
1.620058499999999790e-01  6.036844984544024184e-01
1.791814833333333079e-01  1.676901384595562150e-01
1.963571166666666368e-01  1.676901384595562150e-01
2.135327499999999656e-01  1.844591523055118254e-01
2.307083833333333223e-01  1.509211246136001328e-01
2.478840166666666789e-01  6.707605538382248322e-02
2.650596499999999800e-01  1.006140830757337318e-01
2.822352833333333644e-01  0.000000000000000000e+00
2.994109166666666377e-01  0.000000000000000000e+00
3.165865500000000221e-01  1.676901384595562081e-02
3.337621833333332955e-01  1.676901384595562081e-02
