clin values
-2.105915666666666741e-01 6.434298678690676763e-04
-1.866787000000000030e-01 6.327060367379172892e-03
-1.627658333333333318e-01 4.643418879788438480e-02
-1.388529666666666884e-01 2.635381500480389327e-01
-1.149401000000000034e-01 9.906139007400853735e-01
-9.102723333333334610e-02 2.643424373828755947e+00
-6.711436666666668882e-02 3.556612213801927158e+00
-4.320150000000001766e-02 3.618220623650390433e+00
-1.928863333333334651e-02 3.659132039415732063e+00
4.624233333333324647e-03  3.407979914324172466e+00
2.853709999999998193e-02  3.156988646699584233e+00
5.244996666666662533e-02  2.986694208336904133e+00
7.636283333333329648e-02  2.661708505907362632e+00
1.002756999999999676e-01  2.357312559249643336e+00
1.241885666666666388e-01  1.946214492836960241e+00
1.481014333333333099e-01  1.775008528828136534e+00
1.720142999999999534e-01  1.485304230820088778e+00
1.959271666666666245e-01  1.266538075744602532e+00
2.198400333333332957e-01  1.085305329628151183e+00
2.437528999999999946e-01  9.216060474111258394e-01
2.676657666666666380e-01  7.664322109433737706e-01
2.915786333333332814e-01  6.640196236408770769e-01
3.154914999999999803e-01  6.667542005793205551e-01
3.394043666666666237e-01  4.403205062450668561e-01
3.633172333333332671e-01  3.921168853105405083e-01
3.872300999999999660e-01  2.929214473473927272e-01
4.111429666666666649e-01  2.764603665610757544e-01
4.350558333333333083e-01  2.111522349723664316e-01
4.589686999999999517e-01  1.365143702995536834e-01
4.828815666666666506e-01  1.361926553656191696e-01
