clin values
-2.051997833333333299e-01 2.577426889630276847e-03
-1.828633499999999801e-01 6.443567224075699706e-03
-1.605269166666666858e-01 8.118894702335383018e-02
-1.381904833333333360e-01 5.889420442805182176e-01
-1.158540499999999862e-01 1.708834027824874591e+00
-9.351761666666666417e-02 4.440906530832970489e+00
-7.118118333333332826e-02 5.248929860732065578e+00
-4.884474999999999234e-02 4.973145183541618941e+00
-2.650831666666664255e-02 4.681895945013398119e+00
-4.171883333333306632e-03 4.569777875314486870e+00
1.816455000000001541e-02  3.873872615114310580e+00
4.050098333333335132e-02  3.368696944746771837e+00
6.283741666666670111e-02  2.698565953442900067e+00
8.517385000000002315e-02  2.367366598125415056e+00
1.075102833333333452e-01  1.768114846286370057e+00
1.298467166666666950e-01  1.206235784346969542e+00
1.521831500000000448e-01  9.935980659524719094e-01
1.745195833333333946e-01  7.835377744476041961e-01
1.968560166666667166e-01  5.219289451501324395e-01
2.191924500000000386e-01  3.170235074245240647e-01
2.415288833333333884e-01  1.752650284948588377e-01
2.638653166666666827e-01  1.726876016052289742e-01
2.862017500000000325e-01  8.763251424742941886e-02
3.085381833333333823e-01  6.830181257520233362e-02
3.308746166666667321e-01  1.804198822741193836e-02
3.532110500000000819e-01  4.123883023408442955e-02
3.755474833333334317e-01  2.577426889630276847e-03
3.978839166666667260e-01  0.000000000000000000e+00
4.202203500000000203e-01  0.000000000000000000e+00
4.425567833333333700e-01  2.577426889630283352e-03
