clin values
-2.999999999999999889e-01 3.940439377879544235e-10
-2.993993993993994129e-01 4.444520431707435951e-10
-2.987987987987987815e-01 5.011522046990767297e-10
-2.981981981981982055e-01 5.649094830214218675e-10
-2.975975975975975740e-01 6.365793799008511506e-10
-2.969969969969969981e-01 7.171182088817372070e-10
-2.963963963963963666e-01 8.075946162907172036e-10
-2.957957957957957906e-01 9.092023755868499606e-10
-2.951951951951951592e-01 1.023274590705566760e-09
-2.945945945945945832e-01 1.151299457907967399e-09
-2.939939939939940072e-01 1.294937750868148163e-09
-2.933933933933933758e-01 1.456042210429255443e-09
-2.927927927927927998e-01 1.636679038772040705e-09
-2.921921921921921683e-01 1.839151717814365703e-09
-2.915915915915915924e-01 2.066027393655680778e-09
-2.909909909909909609e-01 2.320166092973716387e-09
-2.903903903903903849e-01 2.604753063656022615e-09
-2.897897897897897534e-01 2.923334560815517078e-09
-2.891891891891891775e-01 3.279857430913400348e-09
-2.885885885885886015e-01 3.678712881239794861e-09
-2.879879879879879701e-01 4.124784859735889954e-09
-2.873873873873873941e-01 4.623503511367854120e-09
-2.867867867867867626e-01 5.180904222281603131e-09
-2.861861861861861867e-01 5.803692812107334997e-09
-2.855855855855855552e-01 6.499317488401426768e-09
-2.849849849849849792e-01 7.276048235685541660e-09
-2.843843843843843477e-01 8.143064375292574559e-09
-2.837837837837837718e-01 9.110551101687078366e-09
-2.831831831831831958e-01 1.018980587658883644e-08
-2.825825825825825643e-01 1.139335564459339024e-08
-2.819819819819819884e-01 1.273508592362244407e-08
-2.813813813813813569e-01 1.423038292104130956e-08
-2.807807807807807809e-01 1.589628993228617648e-08
-2.801801801801801495e-01 1.775167939406602742e-08
-2.795795795795795735e-01 1.981744208935030274e-08
-2.789789789789789420e-01 2.211669513726247410e-08
-2.783783783783783661e-01 2.467501054847921205e-08
-2.777777777777777901e-01 2.752066628675796988e-08
-2.771771771771771586e-01 3.068492195070767344e-08
-2.765765765765765827e-01 3.420232137798046932e-08
-2.759759759759759512e-01 3.811102467779496763e-08
-2.753753753753753752e-01 4.245317241831087874e-08
-2.747747747747747438e-01 4.727528493417796269e-08
-2.741741741741741678e-01 5.262869997790372080e-08
-2.735735735735735918e-01 5.857005221807449307e-08
-2.729729729729729604e-01 6.516179838938671690e-08
-2.723723723723723844e-01 7.247279222569134949e-08
-2.717717717717717529e-01 8.057891365952626809e-08
-2.711711711711711770e-01 8.956375715181671859e-08
-2.705705705705705455e-01 9.951938442565796743e-08
-2.699699699699699695e-01 1.105471473203912258e-07
-2.693693693693693381e-01 1.227585869589683261e-07
-2.687687687687687621e-01 1.362764159351604707e-07
-2.681681681681681306e-01 1.512355907802345659e-07
-2.675675675675675547e-01 1.677844825638656676e-07
-2.669669669669669787e-01 1.860861541243706341e-07
-2.663663663663663472e-01 2.063197531117147664e-07
-2.657657657657657713e-01 2.286820307665605942e-07
-2.651651651651651398e-01 2.533889971533192987e-07
-2.645645645645645638e-01 2.806777244182241573e-07
-2.639639639639639324e-01 3.108083105589957663e-07
-2.633633633633633564e-01 3.440660171744517699e-07
-2.627627627627627804e-01 3.807635957149720345e-07
-2.621621621621621490e-01 4.212438178824057391e-07
-2.615615615615615730e-01 4.658822270355818609e-07
-2.609609609609609415e-01 5.150901287502722740e-07
-2.603603603603603656e-01 5.693178400648901534e-07
-2.597597597597597341e-01 6.290582184219299715e-07
-2.591591591591591581e-01 6.948504928946731404e-07
-2.585585585585585267e-01 7.672844219764777618e-07
-2.579579579579579507e-01 8.470048040107996273e-07
-2.573573573573573192e-01 9.347163682624733834e-07
-2.567567567567567433e-01 1.031189076679595016e-06
-2.561561561561561673e-01 1.137263868579948539e-06
-2.555555555555555358e-01 1.253858882821990312e-06
-2.549549549549549599e-01 1.381976194497223059e-06
-2.543543543543543284e-01 1.522709105816112794e-06
-2.537537537537537524e-01 1.677250033661447950e-06
-2.531531531531531209e-01 1.846899039261612964e-06
-2.525525525525525450e-01 2.033073048598756710e-06
-2.519519519519519690e-01 2.237315815525490385e-06
-2.513513513513513375e-01 2.461308683125214653e-06
-2.507507507507507616e-01 2.706882202629075167e-06
-2.501501501501501301e-01 2.976028673204813948e-06
-2.495495495495495542e-01 3.270915670171003014e-06
-2.489489489489489504e-01 3.593900633677254174e-06
-2.483483483483483467e-01 3.947546594634982630e-06
-2.477477477477477430e-01 4.334639119699693362e-06
-2.471471471471471393e-01 4.758204562404203126e-06
-2.465465465465465356e-01 5.221529713135723903e-06
-2.459459459459459318e-01 5.728182946551901500e-06
-2.453453453453453281e-01 6.282036971252461260e-06
-2.447447447447447244e-01 6.887293293079745849e-06
-2.441441441441441484e-01 7.548508510324314915e-06
-2.435435435435435447e-01 8.270622566375373632e-06
-2.429429429429429410e-01 9.058989092992998567e-06
-2.423423423423423373e-01 9.919407985405080707e-06
-2.417417417417417336e-01 1.085816035885726940e-05
-2.411411411411411299e-01 1.188204604508658113e-05
-2.405405405405405261e-01 1.299842379645928356e-05
-2.399399399399399224e-01 1.421525437522501966e-05
-2.393393393393393187e-01 1.554114671550807525e-05
-2.387387387387387427e-01 1.698540735629197569e-05
-2.381381381381381390e-01 1.855809335477359568e-05
-2.375375375375375353e-01 2.027006890107083383e-05
-2.369369369369369316e-01 2.213306586739194402e-05
-2.363363363363363279e-01 2.415974853740403757e-05
-2.357357357357357242e-01 2.636378277470854506e-05
-2.351351351351351204e-01 2.875990990302919103e-05
-2.345345345345345445e-01 3.136402558497308453e-05
-2.339339339339339130e-01 3.419326400103133199e-05
-2.333333333333333370e-01 3.726608764585741468e-05
-2.327327327327327056e-01 4.060238307480699163e-05
-2.321321321321321296e-01 4.422356295023185415e-05
-2.315315315315315259e-01 4.815267475412993940e-05
-2.309309309309309222e-01 5.241451655141472321e-05
-2.303303303303303184e-01 5.703576020634116726e-05
-2.297297297297297147e-01 6.204508247344966629e-05
-2.291291291291291388e-01 6.747330440381069344e-05
-2.285285285285285073e-01 7.335353952733429498e-05
-2.279279279279279313e-01 7.972135129245088955e-05
-2.273273273273272999e-01 8.661492026557426958e-05
-2.267267267267267239e-01 9.407522161437517627e-05
-2.261261261261261202e-01 1.021462134210747387e-04
-2.255255255255255165e-01 1.108750363945928497e-04
-2.249249249249249127e-01 1.203122255735507740e-04
-2.243243243243243090e-01 1.305119346356923378e-04
-2.237237237237237331e-01 1.415321734533169624e-04
-2.231231231231231016e-01 1.534350595586997661e-04
-2.225225225225225256e-01 1.662870842082316578e-04
-2.219219219219218941e-01 1.801593937590760931e-04
-2.213213213213213182e-01 1.951280870974214307e-04
-2.207207207207207145e-01 2.112745298829814700e-04
-2.201201201201201108e-01 2.286856864000235269e-04
-2.195195195195195070e-01 2.474544698309925038e-04
-2.189189189189189033e-01 2.676801117945783268e-04
-2.183183183183183274e-01 2.894685520157866789e-04
-2.177177177177176959e-01 3.129328490212113863e-04
-2.171171171171171199e-01 3.381936127780043699e-04
-2.165165165165164884e-01 3.653794602202283946e-04
-2.159159159159159125e-01 3.946274946307798989e-04
-2.153153153153153088e-01 4.260838098713798719e-04
-2.147147147147147050e-01 4.599040204765050062e-04
-2.141141141141141013e-01 4.962538186499875284e-04
-2.135135135135134976e-01 5.353095592248915263e-04
-2.129129129129129216e-01 5.772588736681368406e-04
-2.123123123123122902e-01 6.223013142311716994e-04
-2.117117117117117142e-01 6.706490293663060947e-04
-2.111111111111111105e-01 7.225274715455207728e-04
-2.105105105105105068e-01 7.781761386337181100e-04
-2.099099099099099031e-01 8.378493499822396891e-04
-2.093093093093092993e-01 9.018170584198893303e-04
-2.087087087087086956e-01 9.703656993283387789e-04
-2.081081081081080919e-01 1.043799077995874285e-03
-2.075075075075075159e-01 1.122439296448091151e-03
-2.069069069069068845e-01 1.206627720955955572e-03
-2.063063063063063085e-01 1.296725991420502643e-03
-2.057057057057057048e-01 1.393117073829300235e-03
