mlin values
7.216041999999999845e+00 5.050104612917066631e-03
7.384565999999999519e+00 8.753514662389536016e-03
7.553090000000000082e+00 7.743493739806168313e-03
7.721613999999999756e+00 1.515031383875119729e-02
7.890138000000000318e+00 2.188378665597384004e-02
8.058661999999999992e+00 2.289380757855724591e-02
8.227185999999999666e+00 4.040083690333653305e-02
8.395710000000001116e+00 8.012832652495079089e-02
8.564233999999999014e+00 1.117756487658977393e-01
8.732758000000000465e+00 1.696835149940134346e-01
8.901282000000000139e+00 1.999841426715137094e-01
9.069805999999999813e+00 2.551986197727424410e-01
9.238330000000001263e+00 2.821325110416333937e-01
9.406853999999999161e+00 2.895393311405784487e-01
9.575378000000000611e+00 2.710222808932158944e-01
9.743902000000000285e+00 2.353348749619328106e-01
9.912425999999999959e+00 2.720323018157992934e-01
1.008095000000000141e+01 3.272467789170259156e-01
1.024947399999999931e+01 4.026616744699207384e-01
1.041799800000000076e+01 4.602328670571753100e-01
1.058652200000000043e+01 4.871667583260612111e-01
1.075504600000000011e+01 4.838000219174600214e-01
1.092356999999999978e+01 4.972669675518952004e-01
1.109209399999999945e+01 3.619241639257230747e-01
1.126061800000000090e+01 2.535152515684367391e-01
1.142914200000000058e+01 1.757436405295120518e-01
1.159766600000000025e+01 1.232225525551777223e-01
1.176618999999999993e+01 5.050104612917013375e-02
1.193471399999999960e+01 1.717035568391802464e-02
1.210323800000000105e+01 4.713430972055929029e-03
