mlin values
8.684097666666666271e+00 5.312505927994148891e-02
8.790013000000000076e+00 8.263898110213259429e-02
8.895928333333333882e+00 1.446182169287296149e-01
9.001843666666665911e+00 2.272571980308608075e-01
9.107759000000001492e+00 2.243058058486418482e-01
9.213674333333333522e+00 2.685766885819309002e-01
9.319589666666665551e+00 2.656252963997074446e-01
9.425505000000001132e+00 2.243058058486418482e-01
9.531420333333333161e+00 2.420141589419556594e-01
9.637335666666666967e+00 3.571184540485015657e-01
9.743251000000000772e+00 2.921878260396781890e-01
9.849166333333332801e+00 3.128475713152109594e-01
9.955081666666666607e+00 2.980906104041211035e-01
1.006099700000000041e+01 3.335073165907437853e-01
1.016691233333333244e+01 4.131949055106560742e-01
1.027282766666666802e+01 5.046880631594441446e-01
1.037874300000000005e+01 4.928824944305682521e-01
1.048465833333333386e+01 4.250004742395390722e-01
1.059057366666666766e+01 6.965285550036773854e-01
1.069648899999999969e+01 4.250004742395319113e-01
1.080240433333333350e+01 5.637159068038329890e-01
1.090831966666666730e+01 7.142369080969910300e-01
1.101423499999999933e+01 4.368060429684078039e-01
1.112015033333333314e+01 3.659726305951586656e-01
1.122606566666666694e+01 3.600698462307145298e-01
1.133198099999999897e+01 3.039933947685540816e-01
1.143789633333333455e+01 1.741321387509193463e-01
1.154381166666666658e+01 1.593751778398244667e-01
1.164972700000000039e+01 4.722227491550433365e-02
1.175564233333333419e+01 3.246531400440869075e-02
