mlin values
7.216041999999999845e+00 4.079591311455113035e-03
7.384565999999999519e+00 9.018043951637570721e-03
7.553090000000000082e+00 7.944467290728379066e-03
7.721613999999999756e+00 1.481535792054751617e-02
7.890138000000000318e+00 2.254510987909392680e-02
8.058661999999999992e+00 2.082738722163915077e-02
8.227185999999999666e+00 4.444607376164255025e-02
8.395710000000001116e+00 8.245068755782965220e-02
8.564233999999999014e+00 1.146579873851068521e-01
8.732758000000000465e+00 1.640425137869319372e-01
8.901282000000000139e+00 2.022618429152987507e-01
9.069805999999999813e+00 2.559406759607629200e-01
9.238330000000001263e+00 2.640998585836731305e-01
9.406853999999999161e+00 2.821359464869483413e-01
9.575378000000000611e+00 2.709707492134922346e-01
9.743902000000000285e+00 2.340397120782119200e-01
9.912425999999999959e+00 2.668911579020371017e-01
1.008095000000000141e+01 3.074723556844063954e-01
1.024947399999999931e+01 3.757518313182340863e-01
1.041799800000000076e+01 4.639998328449736475e-01
1.058652200000000043e+01 4.783857601011524685e-01
1.075504600000000011e+01 4.985690013262564779e-01
1.092356999999999978e+01 4.826800667447893600e-01
1.109209399999999945e+01 3.787578459687799826e-01
1.126061800000000090e+01 2.645292892480368141e-01
1.142914200000000058e+01 1.964645289463888833e-01
1.159766600000000025e+01 1.389208199216571682e-01
1.176618999999999993e+01 6.076443900746236054e-02
1.193471399999999960e+01 2.147153321818480454e-02
1.210323800000000105e+01 4.938452640182505390e-03
