mlin values
8.660891166666665697e+00 3.757147221158781136e-02
8.768213499999999883e+00 6.440823807700872539e-02
8.875535833333334068e+00 1.261327995674733360e-01
8.982858166666666477e+00 1.851736844714000907e-01
9.090180499999998887e+00 1.905410376444810205e-01
9.197502833333333072e+00 2.710513352407450949e-01
9.304825166666667258e+00 2.334798630291528010e-01
9.412147499999999667e+00 1.878573610579421238e-01
9.519469833333332076e+00 2.254288332695268404e-01
9.626792166666666262e+00 3.381432499042958395e-01
9.734114500000000447e+00 2.630003054811146379e-01
9.841436833333332856e+00 3.086228074523335030e-01
9.948759166666665266e+00 2.925207479330764748e-01
1.005608149999999945e+01 2.844697181734552327e-01
1.016340383333333364e+01 3.703473689427941307e-01
1.027072616666666605e+01 5.045311982698933440e-01
1.037804850000000023e+01 4.964801685102756545e-01
1.048537083333333264e+01 4.428066367794350477e-01
1.059269316666666683e+01 7.031232656740002973e-01
1.070001549999999924e+01 4.696434026448475518e-01
1.080733783333333342e+01 6.306639978373771438e-01
1.091466016666666761e+01 7.165416486067103241e-01
1.102198250000000002e+01 4.615923728852292518e-01
1.112930483333333243e+01 4.186535475005498386e-01
1.123662716666666661e+01 3.783983987024263085e-01
1.134394950000000080e+01 3.086228074523283960e-01
1.145127183333333321e+01 1.824900078848580576e-01
1.155859416666666561e+01 1.422348590867252571e-01
1.166591649999999980e+01 4.830617855775655445e-02
1.177323883333333399e+01 3.488779562504581988e-02
