mlin values
7.216180333333333863e+00 4.771552261595701241e-04
7.384980999999999796e+00 1.060344947021266918e-03
7.553781666666667505e+00 8.814117372114282098e-04
7.722582333333333438e+00 1.676670447477387072e-03
7.891382999999999370e+00 2.756896862255293641e-03
8.060183666666667079e+00 2.876185668795186619e-03
8.228984333333333012e+00 7.415787473229946622e-03
8.397785000000000721e+00 3.925927166346260960e-02
8.566585666666666654e+00 5.737128878976972129e-02
8.735386333333334363e+00 7.668282113739384453e-02
8.904187000000000296e+00 1.033438693990607754e-01
9.072987666666666229e+00 1.643137038527822114e-01
9.241788333333333938e+00 1.387858992532468028e-01
9.410588999999999871e+00 1.813388674083942498e-01
9.579389666666667580e+00 1.490248551479194106e-01
9.748190333333333513e+00 1.447105766447281672e-01
9.916990999999999445e+00 1.982579964693003405e-01
1.008579166666666715e+01 2.891229312731065648e-01
1.025459233333333309e+01 5.586294810263197075e-01
1.042339300000000080e+01 4.918741394554064783e-01
1.059219366666666673e+01 6.010499060630893897e-01
1.076099433333333266e+01 7.062692605871867535e-01
1.092979500000000037e+01 6.945657032344467741e-01
1.109859566666666630e+01 5.721753877245163711e-01
1.126739633333333401e+01 3.005614023890954001e-01
1.143619699999999995e+01 1.702118726205879840e-01
1.160499766666666766e+01 1.463541113126111404e-01
1.177379833333333359e+01 9.046730544867119528e-02
1.194259899999999952e+01 3.057769740972594852e-02
1.211139966666666723e+01 2.054418334853693948e-03
