mlin values
8.661794499999999175e+00 5.089180203422847409e-02
8.770923499999998540e+00 7.322187843700099508e-02
8.880052499999999682e+00 1.236809270525722482e-01
8.989181499999999048e+00 1.527619567864170746e-01
9.098310500000000189e+00 1.803716248968204316e-01
9.207439499999999555e+00 2.677878154658211995e-01
9.316568499999998920e+00 2.212235476181731997e-01
9.425697500000000062e+00 1.783809591709946962e-01
9.534826499999999427e+00 2.616427169208718762e-01
9.643955500000000569e+00 3.128807216900220123e-01
9.753084499999999935e+00 2.897716891336682421e-01
9.862213499999999300e+00 3.564157156070626442e-01
9.971342499999998665e+00 3.118421134852418231e-01
1.008047149999999981e+01 2.841458946911089578e-01
1.018960049999999917e+01 4.708357195003450291e-01
1.029872950000000031e+01 4.959354177825244792e-01
1.040785849999999968e+01 4.387254158358913636e-01
1.051698749999999905e+01 4.916078835959404314e-01
1.062611650000000019e+01 6.120864353504484878e-01
1.073524549999999955e+01 5.242374913627922961e-01
1.084437450000000069e+01 6.641899469569098047e-01
1.095350350000000006e+01 5.743503372434355381e-01
1.106263249999999942e+01 5.009553574389619124e-01
1.117176150000000057e+01 4.161356873819225810e-01
1.128089049999999993e+01 3.312294666411434441e-01
1.139001949999999930e+01 2.733270592246488384e-01
1.149914850000000044e+01 1.683410798581169432e-01
1.160827749999999980e+01 9.607125894216599071e-02
1.171740649999999917e+01 2.397453939367526904e-02
1.182653550000000031e+01 1.644462990901940369e-02
