M P
6.451234499999999983e+00 9.133543262115224588e-05
6.818063499999999166e+00 9.590220425220986021e-04
7.184892500000000126e+00 3.470746439603785479e-03
7.551721499999999310e+00 1.739939991432950389e-02
7.918550500000000270e+00 5.523510287764182153e-02
8.285379499999999453e+00 1.464563662080179685e-01
8.652208500000000413e+00 2.719969183457907613e-01
9.019037499999999596e+00 4.107811082136331726e-01
9.385866499999998780e+00 4.675232457295219191e-01
9.752695499999999740e+00 4.260341254613656536e-01
1.011952449999999892e+01 3.559113470664758694e-01
1.048635349999999988e+01 2.550313617364117214e-01
1.085318249999999907e+01 1.563662606474122696e-01
1.122001150000000003e+01 9.051341372756209480e-02
1.158684049999999921e+01 4.087260609796573158e-02
1.195366950000000017e+01 1.819858494976454161e-02
1.232049849999999935e+01 6.598985006878233146e-03
1.268732750000000031e+01 2.146382666597082718e-03
1.305415649999999950e+01 3.196740141740336263e-04
1.342098550000000046e+01 1.598370070870160271e-04
