xlin values
-2.894177000000000000e+00 6.365077455916326628e-03
-2.694570999999999827e+00 1.328363990799932143e-02
-2.494965000000000099e+00 1.854174737158234554e-02
-2.295358999999999927e+00 3.127190228341499706e-02
-2.095753000000000199e+00 5.036713465116409577e-02
-1.896147000000000027e+00 6.863213952466300227e-02
-1.696540999999999855e+00 9.769010182341156256e-02
-1.496935000000000127e+00 1.364340515550762079e-01
-1.297328999999999954e+00 1.773919412714073940e-01
-1.097723000000000226e+00 1.975941436314896660e-01
-8.981170000000000542e-01 2.106010410414054235e-01
-6.985109999999998820e-01 2.216707409647381832e-01
-4.989049999999999319e-01 2.532193857462370912e-01
-2.992989999999999817e-01 3.265561477383159272e-01
-9.969300000000003159e-02 3.495257750792321594e-01
9.991299999999991854e-02  4.054277596920617399e-01
2.995190000000000907e-01  4.344857219908101476e-01
4.991250000000000409e-01  4.057045021901459214e-01
6.987309999999999910e-01  4.093021546652281795e-01
8.983369999999999411e-01  3.340281951865662902e-01
1.097942999999999891e+00  2.612449181906527085e-01
1.297549000000000063e+00  1.917825511717397846e-01
1.497155000000000236e+00  1.486107214707420576e-01
1.696761000000000408e+00  9.326222185407835596e-02
1.896367000000000136e+00  5.894615209174711851e-02
2.095972999999999864e+00  3.957417722591455300e-02
2.295579000000000036e+00  2.767424980833185777e-02
2.495185000000000208e+00  1.909523236774898422e-02
2.694791000000000381e+00  1.522083739458252212e-02
2.894397000000000553e+00  6.365077455916341373e-03
