xlin values
-2.870778333333333432e+00 1.260453366484237669e-02
-2.672375000000000167e+00 1.733123378915826795e-02
-2.473971666666666458e+00 2.836020074589528511e-02
-2.275568333333333193e+00 3.308690087021123882e-02
-2.077164999999999928e+00 6.459823503231724995e-02
-1.878761666666666663e+00 7.247606857284358273e-02
-1.680358333333333398e+00 1.008362693187390136e-01
-1.481955000000000133e+00 1.087141028592654851e-01
-1.283551666666666868e+00 1.701612044753720854e-01
-1.085148333333333603e+00 1.622833709348455999e-01
-8.867450000000003385e-01 2.316083060914786718e-01
-6.883416666666668515e-01 2.473639731725310875e-01
-4.899383333333333645e-01 2.836020074589534756e-01
-2.915350000000000996e-01 3.671070429885342490e-01
-9.313166666666683469e-02 3.655314762804289241e-01
1.052716666666664302e-01  3.797115766533765702e-01
3.036749999999996952e-01  3.718337431128501125e-01
5.020783333333329601e-01  4.632166121829573435e-01
7.004816666666662250e-01  3.923161103182190024e-01
8.988849999999994900e-01  3.324445754102177131e-01
1.097288333333332755e+00  2.631196402535846413e-01
1.295691666666666020e+00  2.127015055942151067e-01
1.494094999999999285e+00  1.276209033565290640e-01
1.692498333333332994e+00  8.035390211336980448e-02
1.890901666666666703e+00  4.884256795126420969e-02
2.089304999999999968e+00  2.363350062157945630e-02
2.287708333333333233e+00  2.205793391347415575e-02
2.486111666666666498e+00  1.733123378915826795e-02
2.684514999999999763e+00  2.048236720536886213e-02
2.882918333333333472e+00  1.890680049726352341e-02
