xlin values
-3.047215666666666323e+00 8.962432664293383533e-04
-2.845346999999999849e+00 1.613237879572805436e-03
-2.643478333333333374e+00 6.632200171577103641e-03
-2.441609666666666456e+00 8.962432664293364451e-03
-2.239740999999999538e+00 2.061359512787478560e-02
-2.037872333333333064e+00 3.925545506960497616e-02
-1.836003666666666589e+00 6.865223420848724778e-02
-1.634134999999999671e+00 1.000207485335140589e-01
-1.432266333333333197e+00 1.247570626869637656e-01
-1.230397666666666501e+00 1.659842529427134616e-01
-1.028528999999999805e+00 1.932300482421649424e-01
-8.266603333333331083e-01 1.971735186144544238e-01
-6.247916666666664121e-01 1.939470428553083936e-01
-4.229229999999997158e-01 2.636747689835113317e-01
-2.210543333333330196e-01 3.142228892101253113e-01
-1.918566666666632337e-02 4.205173406086455956e-01
1.826830000000001508e-01  4.762636717805504016e-01
3.845516666666668470e-01  5.388214517773169954e-01
5.864203333333335433e-01  5.020754778537154239e-01
7.882890000000000175e-01  4.165738702363565027e-01
9.901576666666667137e-01  3.421856791227206318e-01
1.192026333333333632e+00  2.360704763774872095e-01
1.393895000000000550e+00  1.627577771835675147e-01
1.595763666666667024e+00  8.568085627064493670e-02
1.797632333333333499e+00  4.409516870832334845e-02
1.999501000000000417e+00  1.900035724830193354e-02
2.201369666666666891e+00  6.273702865005383218e-03
2.403238333333333365e+00  2.867978452573876139e-03
2.605107000000000284e+00  7.169946131434690346e-04
2.806975666666667202e+00  1.792486532858676923e-04
