xlin values
-3.056057833333333029e+00 1.563750987758947587e-03
-2.871873499999999524e+00 4.691252963276854038e-03
-2.687689166666666463e+00 4.691252963276842762e-03
-2.503504833333332957e+00 1.251000790207158070e-02
-2.319320499999999896e+00 1.563750987758951230e-02
-2.135136166666666391e+00 3.440252173069684866e-02
-1.950951833333332885e+00 6.255003951035797982e-02
-1.766767499999999824e+00 6.567754148587587326e-02
-1.582583166666666319e+00 1.469925928493412415e-01
-1.398398833333333258e+00 1.657576047024486299e-01
-1.214214499999999752e+00 1.735763596412431831e-01
-1.030030166666666247e+00 2.157976363107347584e-01
-8.458458333333329637e-01 1.985963754453868302e-01
-6.616614999999996805e-01 1.970326244576273977e-01
-4.774771666666663972e-01 2.736564228578164393e-01
-2.932928333333331139e-01 2.689651698945389469e-01
-1.091084999999996086e-01 3.033676916252358580e-01
7.507583333333367470e-02  4.566152884256137745e-01
2.592601666666669580e-01  5.019640670706221330e-01
4.434445000000002413e-01  4.628702923766495614e-01
6.276288333333335245e-01  5.082190710216578644e-01
8.118131666666670299e-01  3.753002370621473793e-01
9.959975000000005352e-01  3.549714742212811136e-01
1.180181833333334041e+00  2.283076442128063321e-01
1.364366166666667102e+00  1.782676126045208698e-01
1.548550500000000163e+00  1.266638300084747537e-01
1.732734833333333668e+00  5.004003160828632280e-02
1.916919166666667174e+00  1.094625691431263224e-02
2.101103500000000679e+00  2.345626481638421121e-02
2.285287833333333740e+00  6.255003951035819840e-03
