xlin values
-3.241075999999999624e+00 1.972155170832908325e-04
-3.026527999999999885e+00 2.067774815479356439e-03
-2.811980000000000146e+00 3.711237457840109184e-03
-2.597431999999999963e+00 1.055401827785128199e-02
-2.382883999999999780e+00 3.040704699756920440e-02
-2.168336000000000041e+00 5.956506238694423555e-02
-1.953787999999999858e+00 1.047931543047124769e-01
-1.739240000000000119e+00 1.564456910971634140e-01
-1.524691999999999936e+00 2.108353402176189051e-01
-1.310143999999999975e+00 2.607189135841104233e-01
-1.095596000000000014e+00 2.601930055385555662e-01
-8.810480000000000533e-01 2.671134773198414192e-01
-6.665000000000000924e-01 2.470034708051366545e-01
-4.519520000000001314e-01 2.870382207730441948e-01
-2.374040000000001704e-01 3.045306395155536472e-01
-2.285600000000020948e-02 3.583943805904530322e-01
1.916919999999999735e-01  4.259317308497945209e-01
4.062399999999999345e-01  4.141824670138635200e-01
6.207879999999996734e-01  4.039272601255323725e-01
8.353359999999998564e-01  3.125806183492249035e-01
1.049884000000000039e+00  2.389953255659969522e-01
1.264431999999999778e+00  1.483957122634910475e-01
1.478979999999999517e+00  7.946590092898556112e-02
1.693527999999999700e+00  4.669824395420701241e-02
1.908075999999999883e+00  1.669160421859491872e-02
2.122623999999999622e+00  7.697381394038759622e-03
2.337171999999999805e+00  2.145465776754583442e-03
2.551719999999999988e+00  6.155514624114847427e-04
2.766267999999999727e+00  5.976227790402764871e-06
2.980815999999999910e+00  5.976227790402752335e-05
