xlin values
-3.063899000000000150e+00 1.242279049366330681e-03
-2.855356999999999701e+00 1.104248043881182924e-03
-2.646815000000000140e+00 7.591705301683133143e-03
-2.438272999999999691e+00 1.642568965273259393e-02
-2.229731000000000130e+00 3.478381338225733366e-02
-2.021189000000000124e+00 7.895373513750450489e-02
-1.812647000000000119e+00 1.126333004758806600e-01
-1.604105000000000114e+00 1.721246638399794027e-01
-1.395563000000000109e+00 1.862038263994644782e-01
-1.187021000000000104e+00 2.006970819754052282e-01
-9.784790000000003207e-01 2.440388176977414392e-01
-7.699370000000003156e-01 2.360330193796028597e-01
-5.613950000000003104e-01 2.240243219023949905e-01
-3.528530000000003053e-01 3.127782584293450907e-01
-1.443110000000003001e-01 3.358294363453647735e-01
6.423099999999970500e-02  4.147831714828693617e-01
2.727729999999997101e-01  5.027089219769085293e-01
4.813149999999997153e-01  4.403189074976217032e-01
6.898569999999997204e-01  4.394907214647108540e-01
8.983989999999995035e-01  3.120881034019200029e-01
1.106940999999999509e+00  2.209876397817212568e-01
1.315482999999999514e+00  1.581835322859797832e-01
1.524024999999999519e+00  7.660720804425689978e-02
1.732566999999999524e+00  3.809655751390089024e-02
1.941108999999999529e+00  1.214672848269298527e-02
2.149650999999999534e+00  1.173263546623759361e-02
2.358192999999999540e+00  3.174713126158394075e-03
2.566734999999999545e+00  2.760620109702963273e-04
2.775276999999999550e+00  0.000000000000000000e+00
2.983818999999999555e+00  1.380310054851478655e-04
