zlin values
2.619149999999999950e-02 3.844858470413681673e+00
6.051449999999999885e-02 1.522493140649370025e+00
9.483749999999999125e-02 1.012313092461367026e+00
1.291605000000000114e-01 1.310052237302945732e+00
1.634835000000000038e-01 1.371209467054189446e+00
1.978064999999999962e-01 1.371209467054188336e+00
2.321295000000000164e-01 1.681823818159187800e+00
2.664524999999999810e-01 1.799310075312893220e+00
3.007754999999999734e-01 1.821841686273876215e+00
3.350984999999999658e-01 1.593306775098177752e+00
3.694214999999999582e-01 1.528930743781079959e+00
4.037444999999999506e-01 1.168424968405328501e+00
4.380674999999999986e-01 1.057376314383336346e+00
4.723904999999999910e-01 7.580277687588300450e-01
5.067135000000000389e-01 6.534167178685456046e-01
5.410364999999999203e-01 6.067440951636494662e-01
5.753595000000000237e-01 5.455868654124063077e-01
6.096824999999999051e-01 5.504150677611886477e-01
6.440055000000000085e-01 4.908672387928729730e-01
6.783284999999998899e-01 5.343210599319142551e-01
7.126514999999999933e-01 4.924766395758004567e-01
7.469744999999998747e-01 5.455868654124063077e-01
7.812974999999999781e-01 5.214458536684946077e-01
8.156204999999999705e-01 4.731638301806694313e-01
8.499434999999999629e-01 4.184442035611375954e-01
8.842665000000000664e-01 3.492399698952571296e-01
9.185894999999999477e-01 3.122237518879257823e-01
9.529125000000000512e-01 2.349725143074080369e-01
9.872354999999999325e-01 2.011750978659315459e-01
1.021558500000000036e+00 1.400178681146879156e-01
1.055881499999999917e+00 9.334524540979254048e-02
1.090204500000000021e+00 6.759483288295278780e-02
1.124527500000000124e+00 1.448460704634702348e-02
1.158850500000000228e+00 1.770340861220203593e-02
1.193173500000000109e+00 9.656404697564681741e-03
1.227496499999999990e+00 3.218801565854914875e-03
1.261819500000000094e+00 6.437603131709788117e-03
1.296142500000000197e+00 6.437603131709829750e-03
1.330465500000000079e+00 1.609400782927447029e-03
1.364788499999999960e+00 3.218801565854914875e-03
