zlin values
2.839033333333333686e-02 3.512169131899643415e-01
4.263100000000000223e-02 7.024338263799287940e-01
5.687166666666666759e-02 1.009748625421146961e+00
7.111233333333333295e-02 1.295112367387993624e+00
8.535300000000001219e-02 1.865839851321685838e+00
9.959366666666666368e-02 2.195105707437277509e+00
1.138343333333333429e-01 3.095099047486560728e+00
1.280749999999999944e-01 3.951190273387099161e+00
1.423156666666666736e-01 4.521917757320786713e+00
1.565563333333333529e-01 4.829232556362005546e+00
1.707970000000000321e-01 4.763379385138896360e+00
1.850376666666666836e-01 4.543868814395159106e+00
1.992783333333333351e-01 3.907288159238357483e+00
2.135190000000000143e-01 4.456064586097668645e+00
2.277596666666666936e-01 4.434113529023304245e+00
2.420003333333333451e-01 4.170700844130823093e+00
2.562409999999999966e-01 3.578022303122765368e+00
2.704816666666666758e-01 3.051196933337812833e+00
2.847223333333333550e-01 2.260958878660393356e+00
2.989630000000000343e-01 2.502420506478493678e+00
3.132036666666666580e-01 1.997546193767928413e+00
3.274443333333333372e-01 1.448769766908601486e+00
3.416850000000000165e-01 1.273161310313619676e+00
3.559256666666666957e-01 1.009748625421146517e+00
3.701663333333333750e-01 8.560912259005373226e-01
3.844070000000000542e-01 5.487764268593209316e-01
3.986476666666666779e-01 5.048743127105732587e-01
4.128883333333333572e-01 4.170700844130822982e-01
4.271290000000000364e-01 3.512169131899640084e-01
4.413696666666666601e-01 3.292658561155926145e-01
