zlin values
2.620584412500000238e-02 3.014027468666914178e+00
6.060139237500000720e-02 1.225599302267698087e+00
9.499694062500001202e-02 9.583870938762861780e-01
1.293924888750000168e-01 1.139333943653147108e+00
1.637880371250000355e-01 1.216131153151466471e+00
1.981835853750000265e-01 1.275044080985794581e+00
2.325791336250000452e-01 1.575920819568251252e+00
2.669746818750000084e-01 1.772647917872165024e+00
3.013702301250000271e-01 1.898889906088578661e+00
3.357657783750000458e-01 1.782116066988394643e+00
3.701613266250000089e-01 1.660082145045862712e+00
4.045568748750000276e-01 1.320280793430009147e+00
4.389524231250000463e-01 1.222443252562287253e+00
4.733479713750000650e-01 8.752777849671468102e-01
5.077435196250000837e-01 7.300994985182668318e-01
5.421390678750001024e-01 6.774986700947616125e-01
5.765346161250001211e-01 5.891292783432708902e-01
6.109301643750001398e-01 5.838691955009203127e-01
6.453257126250001585e-01 5.081240025710711539e-01
6.797212608750001772e-01 5.417885327621152491e-01
7.141168091250000849e-01 5.239042510981247736e-01
7.485123573750001036e-01 5.744010463846892511e-01
7.829079056250001223e-01 5.470486156044659376e-01
8.173034538750001410e-01 5.228522345296530149e-01
8.516990021250001597e-01 4.881356877701388264e-01
8.860945503750001784e-01 3.724138652384248460e-01
9.204900986250001971e-01 3.313852190680899312e-01
9.548856468750002158e-01 2.998247220139870772e-01
9.892811951250000124e-01 2.503799432958909721e-01
1.023676743375000031e+00 1.862069326192124230e-01
1.058072291625000050e+00 1.399182036065268475e-01
1.092467839875000069e+00 1.030976237100724308e-01
1.126863388125000087e+00 5.786091126585696937e-02
1.161258936375000106e+00 3.997662960186481457e-02
1.195654484625000125e+00 1.893629823246227931e-02
1.230050032875000143e+00 1.052016568470126763e-02
1.264445581125000162e+00 1.472823195858177434e-02
1.298841129375000181e+00 1.052016568470126763e-02
1.333236677625000199e+00 7.364115979290887168e-03
1.367632225874999996e+00 7.364115979290934873e-03
