zlin values
2.840505333333333271e-02 3.237411059469271768e-01
4.263955999999999996e-02 7.284174883805867307e-01
5.687406666666666721e-02 9.105218604757324696e-01
7.110857333333334140e-02 1.193795328179295012e+00
8.534308000000000172e-02 1.760342263586416101e+00
9.957758666666666203e-02 2.104317188655028481e+00
1.138120933333333362e-01 3.014839049130761950e+00
1.280466000000000104e-01 3.662321261024612529e+00
1.422811066666666568e-01 4.289569653796784010e+00
1.565156133333333588e-01 4.633544578865394392e+00
1.707501200000000052e-01 4.593076940622037085e+00
1.849846266666666517e-01 4.309803472918467548e+00
1.992191333333333536e-01 4.087231462579954844e+00
2.134536400000000000e-01 4.410972568526890569e+00
2.276881466666666465e-01 4.289569653796784010e+00
2.419226533333333484e-01 4.249102015553418710e+00
2.561571599999999949e-01 3.379047793321051874e+00
2.703916666666666968e-01 3.156475782982533396e+00
2.846261733333333988e-01 2.569695028453738761e+00
2.988606800000000452e-01 2.569695028453728991e+00
3.130951866666666916e-01 2.225720103385128379e+00
3.273296933333333936e-01 1.396133519396125955e+00
3.415642000000000400e-01 1.537770253247900731e+00
3.557987066666666864e-01 1.254496785544344961e+00
3.700332133333333884e-01 9.914571369624661790e-01
3.842677200000000348e-01 7.688851266239503657e-01
3.985022266666666813e-01 5.058454780420745811e-01
4.127367333333333832e-01 5.058454780420745811e-01
4.269712400000000296e-01 4.249102015553409828e-01
4.412057466666666761e-01 4.046763824336596649e-01
