zlin values
2.626554149999999616e-02 1.520776698242492619e+00
6.079046449999999518e-02 7.162053064937088820e+00
9.531538749999998728e-02 8.906045501417411359e+00
1.298403105000000002e-01 1.219926338315326375e-01
1.643652334999999853e-01 1.962250705136153739e-01
1.988901564999999705e-01 2.797892146441657291e-01
2.334150795000000111e-01 3.864234133000949978e-01
2.679400024999999963e-01 5.228348312099897477e-01
3.024649254999999815e-01 6.556496535407873028e-01
3.369898484999999666e-01 8.079055330558927439e-01
3.715147715000000073e-01 9.698495394011767967e-01
4.060396944999999924e-01 1.139083942190579402e+00
4.405646174999999776e-01 1.171744918260216872e+00
4.750895404999999627e-01 6.949853925770359542e-01
5.096144635000000589e-01 7.788087508033771922e-01
5.441393865000000440e-01 8.812631221646815005e-01
5.786643095000000292e-01 9.819029948554491849e-01
6.131892325000000143e-01 7.625754680544811759e-01
6.477141554999999995e-01 2.323206333524805919e-02
6.822390784999999847e-01 2.533817786354809060e-02
7.167640015000000808e-01 2.624542719881571215e-02
7.512889245000000660e-01 2.974481749199123573e-02
7.858138475000000511e-01 3.159171792450049532e-02
8.203387705000000363e-01 3.347102011898360485e-02
8.548636935000000214e-01 3.771565093755752107e-02
8.893886165000000066e-01 3.823407912913906470e-02
9.239135394999999917e-01 4.063180951520371093e-02
9.584384624999999769e-01 4.345076280692823645e-02
9.929633855000000731e-01 4.614010905075765362e-02
1.027488308500000169e+00 4.691775133812996906e-02
1.062013231499999932e+00 5.022273105946232358e-02
1.096538154500000140e+00 5.164840858631158244e-02
1.131063077499999903e+00 5.508299535553932980e-02
1.165588000500000110e+00 5.842037683884553079e-02
1.200112923499999873e+00 5.764273455147320840e-02
1.234637846500000080e+00 6.075330370096249100e-02
1.269162769499999843e+00 6.454430985190255654e-02
1.303687692500000050e+00 6.622920147454257334e-02
1.338212615499999814e+00 6.648841557033334515e-02
1.372737538500000021e+00 7.092745696075034023e-02
