zlin values
2.728912333333333509e-02 2.636655399253236623e-02
4.161817000000000294e-02 6.393889343189101959e-02
5.594721666666666732e-02 9.294210282367663944e-02
7.027626333333333863e-02 1.667684540027671580e-01
8.460531000000000301e-02 2.616880483758841636e-01
9.893435666666666739e-02 3.177169756100149400e-01
1.132634033333333456e-01 4.350481408767838953e-01
1.275924500000000239e-01 5.438101760959809239e-01
1.419214966666666744e-01 6.947586977032275124e-01
1.562505433333333249e-01 8.483438747097301613e-01
1.705795900000000032e-01 9.788583169727637090e-01
1.849086366666666814e-01 1.157491720272170399e+00
1.992376833333333597e-01 1.268890410890622045e+00
2.135667300000000102e-01 1.501575249874717688e+00
2.278957766666666607e-01 1.772491592147991124e+00
2.422248233333333389e-01 1.983424024088246584e+00
2.565538700000000172e-01 2.232587959317677395e+00
2.708829166666666954e-01 2.451430357455695930e+00
2.852119633333333182e-01 2.760578203018148269e+00
2.995410099999999964e-01 2.998536352800742044e+00
3.138700566666666747e-01 3.260883565026439168e+00
3.281991033333333529e-01 3.566076427490000977e+00
3.425281500000000312e-01 3.881815911550575926e+00
3.568571966666667095e-01 4.328729001723999659e+00
3.711862433333333877e-01 4.485609997979584485e+00
3.855152900000000105e-01 4.783552058095183135e+00
3.998443366666666887e-01 5.149387994741569052e+00
4.141733833333333670e-01 5.494130688193929579e+00
4.285024300000000452e-01 5.972024479308577938e+00
4.428314766666666680e-01 6.308857206563204478e+00
