i  SPECEFF 
18.90    0.988
19.10    0.988
19.30    0.988  
19.50    0.988  
19.70    0.987  
19.90    0.986  
20.10    0.986  
20.30    0.985  
20.50    0.984  
20.70    0.984  
20.90    0.983  
21.10    0.982  
21.30    0.981  
21.50    0.979  
21.70    0.978  
21.90    0.976  
22.10    0.975  
22.30    0.972  
22.50    0.970  
22.70    0.967  
22.90    0.963  
23.10    0.958  
23.30    0.951  
23.50    0.686  
23.70    0.493  
23.90    0.352  
24.10    0.247  
24.30    0.166  
24.50    0.096  
24.70    0.038  
24.90    0.015  
25.10    0.007  
25.30    0.004  
25.50    0.002  
25.70    0.001  
25.90    0.001  
26.10    0.000  
26.30    0.000  
26.50    0.000  
26.70    0.000  
26.90    0.000  
27.10    0.000  
27.30    0.000  
